id,date,language,title,normalized_rating,actual_rating,offering_Accommodation,offering_Food & Beverage,offering_Retail,offering_Tourism Attractions/ Sites,offering_Religious,destination,sentiment_lexicon,sentiment_LLM,clean_content,theme_LDA,theme_BERT,num_offerings,month_year
377380-167052110186,2021-02-07 00:14:00+00:00,ara,Hotel Raffles Makkah Palace,100.0,5.0,1,0,0,1,0,Makkah,neutral,positive,جميل جدن خدمه فاخره مميزه,Accommodation & Positive Venue Experience,Positive customer feedback,2,2021-02
377380-167053227344,2021-02-07 00:01:00+00:00,ara,HYAT SHARMA RESORT,60.0,3.0,1,0,0,0,0,Tabuk,neutral,positive,مكان جميل شرما البحر,Accommodation & Positive Venue Experience,Beautiful places,1,2021-02
377380-167056314181,2021-02-07 01:51:00+00:00,eng,Novotel Yanbu,80.0,4.0,1,0,0,0,0,Yanbu,positive,positive,good hotel,Food & Dining / Restaurants,Hotel cleanliness quality,1,2021-02
377380-167057432860,2021-02-07 00:45:00+00:00,ara,منتجع و سبا درة الرياض / Durrat Al Riyadh Resort & SPA,80.0,4.0,1,1,0,0,0,Riyadh,neutral,positive,منتجع جميل يحتاج ترتيب وأهتمام,Accommodation & Positive Venue Experience,Need for improvement,2,2021-02
377380-167058489640,2021-02-07 02:28:00+00:00,ara,ديم للغرف الفندقية,60.0,3.0,1,0,0,0,0,Dammam,neutral,positive,جيده الاستقبال محترمين,Accommodation & Positive Venue Experience,Positive customer feedback,1,2021-02
377380-167095313011,2021-02-07 11:15:00+00:00,eng,InterContinental Madinah-Dar Al Iman,100.0,5.0,1,0,0,0,0,Madinah,positive,positive,excellent experience spent night double room harambee view amazing view room space enough clean furniture staff amazing specially mr hosam restaurant highly recommended sure destination next madinah,Food & Dining / Restaurants,Hotel cleanliness quality,1,2021-02
377380-167095313471,2021-02-07 03:15:00+00:00,eng,InterContinental Madinah-Dar Al Iman,80.0,4.0,1,0,0,0,0,Madinah,positive,neutral,nice hotel clean staryed regular room th floor pay parking sr per day,Food & Dining / Restaurants,Hotel cleanliness quality,1,2021-02
377380-167103209910,2021-02-07 00:10:00+00:00,eng,Al Safy Restaurant & Cafe,20.0,1.0,0,1,0,0,0,Taif,positive,positive,bad,Food & Dining / Restaurants,Temporarily closed businesses,1,2021-02
377380-167104309594,2021-02-07 14:16:00+00:00,ara,Al Gosaibi Hotel,100.0,5.0,1,0,0,0,0,Khobar,neutral,positive,جميل,Accommodation & Positive Venue Experience,Positive customer feedback,1,2021-02
377380-167104744558,2021-02-07 02:49:00+00:00,ara,InterContinental al Ahsa,80.0,4.0,1,0,0,0,0,Al Ahsa,neutral,positive,الخدمات والطاقم الفندق استقبال والعاملين المطاعم ممتازين وبشوشين أثاث الفندق قديم نظيف ، ، ، الفطور ممتاز جدا ومتنوع,Accommodation & Positive Venue Experience,Hotel cleanliness quality,1,2021-02
377380-167104802661,2021-02-07 09:51:00+00:00,ara,Hilton Riyadh Hotel & Residences,100.0,5.0,1,1,0,0,0,Riyadh,neutral,positive,ممتاز,Religious / Spiritual & Tranquil Sites,Positive customer feedback,2,2021-02
